;Springfield, Illinois;Indianapolis;Des Moines, Iowa;Topeka, Kansas;Lansing, Michigan;Saint Paul, Minnesota;Jefferson City, Missouri;Harrisburg, Pennsylvania;Providence, Rhode Island;Montpelier, Vermont;Montgomery, Alabama;Little Rock, Arkansas;Dover, Delaware;Tallahassee, Florida;Baton Rouge, Louisiana;Annapolis, Maryland;Jackson, Mississippi;Raleigh, North Carolina;Oklahoma City;Nashville, Tennessee;Austin, Texas;Phoenix, Arizona;Sacramento, California;Carson City, Nevada;Santa Fe, New Mexico;Salem, Oregon;Salt Lake City, Utah;Cheyenne, Wyoming
Alabama;0.04852067170247742;0.045592215943995464;0.0478193578304362;0.04933517139714221;0.04923353352171147;0.04712344548657227;0.05038861012703075;0.049031836520337706;0.04898144628978852;0.0551751006910245;0.10703929470944512;0.10369139243549519;0.051303853653255654;0.10461023183956396;0.10073352756336446;0.04821873922689607;0.10633998451670021;0.10003720944632892;0.09188660841668704;0.0916538861148133;0.09309382884326005;0.046099009463366446;0.04699740498012918;0.059878241476856255;0.10769756343533057;0.05789285453165682;0.05496149593915965;0.06324721357634772
Arkansas;0.05317935090626433;0.05030324208188153;0.06495552779514686;0.05180820758487514;0.051696136240179026;0.04937465748981946;0.05297115005147336;0.052132352059035394;0.04708965573248166;0.06513429158103587;0.10703929470944512;0.10369139243549519;0.06331558451947136;0.10461023183956396;0.10073352756336446;0.047743042368862953;0.10633998451670021;0.10003720944632892;0.09188660841668704;0.04638733744866074;0.09309382884326005;0.04957648115808608;0.047434056139218105;0.06404018051087652;0.10769756343533057;0.06177442814696675;0.05078855029623511;0.06282172935659751
Delaware;0.05912696501431003;0.04688553371520701;0.04846619775806366;0.06034092687955557;0.06018895378676757;0.05265992976212457;0.061924337698005275;0.10593112454157234;0.09925917724657374;0.12351941567040993;0.05136467059235423;0.048475830148804425;0.11713857913745508;0.04867570596697799;0.04986672512506117;0.10220759125673184;0.05120308944047416;0.049695487228443254;0.04572930861909817;0.04638733744866074;0.0460263484005299;0.04493653956135259;0.0557993558194071;0.0629125059683428;0.051309335338127975;0.06072448254015014;0.058112937454788766;0.06173619397435674
Florida;0.04921359397556906;0.048486451535042115;0.048492255083971696;0.05005172440098546;0.052625737664710036;0.04777676619270319;0.060943195622301924;0.05392073157131257;0.05216266808748737;0.06004135316305472;0.050542070421066565;0.04978310526470997;0.05849255959582674;0.04999393021307276;0.049091041974131215;0.054515807545031256;0.050385615357915636;0.04892508103350365;0.046890871421374415;0.04683019092418811;0.04720324451260709;0.05252149993576948;0.044811455143386685;0.049137726783727714;0.050688360670365445;0.047792709472171846;0.04443488343920191;0.04841718317647068
Louisiana;0.05317935090626433;0.048486451535042115;0.0551056370527176;0.05712834450829751;0.052625737664710036;0.054183538888218113;0.05854566024001242;0.0544446501886675;0.05262654735623958;0.05874379469915346;0.05262782249612822;0.05180543303448776;0.057260393039330726;0.0520337737580762;0.05105642361569479;0.05344395388245128;0.05245820959134711;0.050876932320610135;0.048680819523235774;0.04638733744866074;0.04901758163353057;0.05283354037148527;0.04820556812303055;0.05785237472971699;0.0527864549357374;0.055996977361491666;0.04777006862134342;0.05685617928538504
Maryland;0.05317935090626433;0.048486451535042115;0.0470573127828659;0.048524458427887045;0.052625737664710036;0.046383247379165146;0.04954320235411262;0.050336729004795466;0.04877870685805479;0.053989830956931356;0.05262782249612822;0.05180543303448776;0.05273424305423042;0.0520337737580762;0.05105642361569479;0.05472614199351352;0.05245820959134711;0.050876932320610135;0.048680819523235774;0.04638733744866074;0.04901758163353057;0.04957648115808608;0.050743617253296666;0.05537757797307871;0.0527864549357374;0.05367518936991689;0.05473587957308029;0.05446411676019681
Mississippi;0.05167537988872862;0.04836672463460472;0.05088065240089452;0.05260024614500037;0.05248472575692471;0.05009351965210158;0.05379942982649263;0.05604157095782263;0.05411713505227243;0.06060718560340325;0.050542070421066565;0.04978310526470997;0.05902944622628753;0.04999393021307276;0.049091041974131215;0.054981882005237376;0.050385615357915636;0.04892508103350365;0.046890871421374415;0.04683019092418811;0.04720324451260709;0.05492136585599041;0.044811455143386685;0.049137726783727714;0.050688360670365445;0.047792709472171846;0.04443488343920191;0.04841718317647068
North Carolina;0.05317935090626433;0.04560916140394527;0.052518457587875184;0.05435253287445151;0.054229196582291854;0.051721418601373005;0.05563391804728438;0.056818966700877535;0.05144710651452108;0.0572780426969275;0.05332704712991193;0.051662688497924186;0.05586685484324534;0.10461023183956396;0.05188179307509201;0.052999172375577754;0.0529248304131889;0.05427063406651883;0.09188660841668704;0.04638733744866074;0.09309382884326005;0.04957648115808608;0.04820556812303055;0.05643023145446489;0.051309335338127975;0.054663539854533164;0.04777006862134342;0.055482010151880486
Oklahoma;0.04773629391674777;0.04489898646765962;0.0470573127828659;0.048524458427887045;0.048426130159187675;0.046383247379165146;0.04954320235411262;0.05392073157131257;0.056164598265259;0.0556208423825938;0.05262782249612822;0.05180543303448776;0.05428918254177355;0.0520337737580762;0.05105642361569479;0.052999172375577754;0.05245820959134711;0.050876932320610135;0.048680819523235774;0.04638733744866074;0.04901758163353057;0.04957648115808608;0.059432733945274284;0.05385741031954946;0.0527864549357374;0.05224584329991152;0.048259225635657196;0.05299302013444501
Tennessee;0.05317935090626433;0.04489898646765962;0.0470573127828659;0.048524458427887045;0.048426130159187675;0.046383247379165146;0.04954320235411262;0.05167769504346835;0.0500369089696205;0.0551751006910245;0.050542070421066565;0.04978310526470997;0.05420786008990594;0.04999393021307276;0.049091041974131215;0.052999172375577754;0.050385615357915636;0.04892508103350365;0.046890871421374415;0.04683019092418811;0.04720324451260709;0.04957648115808608;0.047434056139218105;0.054738115199103377;0.050688360670365445;0.057454057660479334;0.05078855029623511;0.06324721357634772
Texas;0.05317935090626433;0.048486451535042115;0.05149338159240123;0.053255358173246226;0.052625737664710036;0.05068732680072899;0.05448494756530506;0.052132352059035394;0.05046303422645587;0.05606090157824156;0.05262782249612822;0.05180543303448776;0.05470834301724335;0.0520337737580762;0.05105642361569479;0.05121413435869172;0.05245820959134711;0.050876932320610135;0.048680819523235774;0.04638733744866074;0.04901758163353057;0.04950402344480691;0.04983851050895648;0.05524848344202125;0.0527864549357374;0.053553901261028526;0.04937314898483698;0.054339241168169065
Arizona;0.05317935090626433;0.04832502313728091;0.051682472651733334;0.05386338608022238;0.05374225726048993;0.051237825925459765;0.05512154438651743;0.05291390572897983;0.051194985981642384;0.056965707091787304;0.05332704712991193;0.051662688497924186;0.055569680061425895;0.05258225662138505;0.05486003201713311;0.05322876890087248;0.05691606243595636;0.055059370975646955;0.0469384056511043;0.04638733744866074;0.05842769765075483;0.05252149993576948;0.04870373117175412;0.05385741031954946;0.05129621843083234;0.05224584329991152;0.09512871291311815;0.05299302013444501
California;0.04921359397556906;0.048486451535042115;0.051682472651733334;0.05005172440098546;0.052625737664710036;0.04777676619270319;0.05113632239401169;0.053296237283613344;0.05155279677261317;0.05740907866428159;0.05357529933880071;0.052723271502203226;0.05599150652681496;0.05295979340993634;0.051025666991825216;0.05233693964081972;0.05339953445806838;0.04988346871305371;0.050675993321293286;0.04638733744866074;0.05405601364731456;0.04838425383448372;0.05158991312623657;0.05385741031954946;0.05129621843083234;0.05224584329991152;0.048259225635657196;0.05299302013444501
Nevada;0.05317935090626433;0.05537757797307871;0.05869814117634423;0.06099868345414559;0.06084338334955987;0.05765303530233802;0.06261726588860214;0.059529869190506714;0.057363036331960784;0.0647078020004266;0.05136467059235423;0.051662688497924186;0.0629125059683428;0.05911043015941985;0.04986672512506117;0.058335559920259066;0.05120308944047416;0.049695487228443254;0.054821037623111114;0.04638733744866074;0.04824386655612424;0.04957648115808608;0.044811455143386685;0.049137726783727714;0.04699683378385923;0.047792709472171846;0.04443488343920191;0.04841718317647068
New Mexico;0.05206087904398286;0.048486451535042115;0.051254342502089635;0.0529997211556355;0.052625737664710036;0.05045569593203355;0.05421739934480628;0.051887357903519726;0.050233444123316574;0.05577769230620937;0.05136467059235423;0.051344129909763704;0.05443860176406206;0.051568413401474694;0.04986672512506117;0.050977674891108084;0.05120308944047416;0.049695487228443254;0.04827326581286326;0.04921148713196923;0.04860439363380371;0.04838425383448372;0.04870373117175412;0.05385741031954946;0.05129621843083234;0.05224584329991152;0.048259225635657196;0.05299302013444501
Oregon;0.050910746730891354;0.04769623699392592;0.050139188597344744;0.05180820758487514;0.051696136240179026;0.04937465748981946;0.05297115005147336;0.0511033046307676;0.049498223638574736;0.05487268561873524;0.05136467059235423;0.051138825460343776;0.053576191669098;0.05136131501359184;0.04986672512506117;0.0502206719403558;0.05120308944047416;0.049695487228443254;0.05714161095328707;0.04638733744866074;0.05760616355195307;0.04454085911939627;0.044811455143386685;0.049137726783727714;0.04699683378385923;0.06192857398126637;0.04443488343920191;0.04841718317647068
Utah;0.05317935090626433;0.045592215943995464;0.0478193578304362;0.04933517139714221;0.04923353352171147;0.04712344548657227;0.05038861012703075;0.05311333994044699;0.05138165047156228;0.057196920154061644;0.050542070421066565;0.04978310526470997;0.05578967767897242;0.04999393021307276;0.049091041974131215;0.05786629731175998;0.050385615357915636;0.04892508103350365;0.046890871421374415;0.04683019092418811;0.04720324451260709;0.04838425383448372;0.04870373117175412;0.05385741031954946;0.050688360670365445;0.05224584329991152;0.09512871291311815;0.05299302013444501
Wyoming;0.05206087904398286;0.04870427768810991;0.06092838091545723;0.0529997211556355;0.05288244141089825;0.05045569593203355;0.05421739934480628;0.051887357903519726;0.050233444123316574;0.05577769230620937;0.05136467059235423;0.051344129909763704;0.05443860176406206;0.051568413401474694;0.04986672512506117;0.050977674891108084;0.05120308944047416;0.049695487228443254;0.04827326581286326;0.04820895717414472;0.04860439363380371;0.04838425383448372;0.04870373117175412;0.05385741031954946;0.05129621843083234;0.06192857398126637;0.048259225635657196;0.05299302013444501
