;Anarchism;Antisemitism;Capitalism;Christianity;Communism;Conservatism;Democracy;Fascism;Feminism;Islamophobia;Left-wing politics;Liberalism;Marxism;Nationalism;Neo-Nazism;Protestantism;Right-wing politics;Secularism;Socialism;White supremacy
Richard Lugar (R);0.10398210254073886;0.0993622198263937;0.09848743997240433;0.08242879443868106;0.09871236013613238;0.11573232070284711;0.11930203206672896;0.11638181141840631;0.08386272839043594;0.08835445060301916;0.11261825254957103;0.11898533542915565;0.08189596558347481;0.11188121580024116;0.15088335537769254;0.09934448468797699;0.11112860638711305;0.08958324937036534;0.12761719761820867;0.10503481662075567
Dan Coats (R);0.10770553267840387;0.09338006385426942;0.08755443797916346;0.07462158286182073;0.09686938645627458;0.10350643283033406;0.11028173352392771;0.11157294558163058;0.07636208386763106;0.08242421452307946;0.10907117332787072;0.10932940442473074;0.07984920153897854;0.1126967510729702;0.14756675005612507;0.08834172354065639;0.10168525937212175;0.08677638342187399;0.1201319284981962;0.10902699897389773
Tom Harkin (D);0.11296342536465956;0.09467899893203713;0.10458098504197008;0.0836387589977177;0.10019426479746935;0.10684933358288906;0.10030311609412812;0.11349462262023235;0.08691657149790255;0.08234572974183349;0.1215004546024136;0.10793081288809993;0.09068858429977758;0.10131539237439069;0.1336317792468517;0.09866594261136101;0.11152592710300796;0.09950785347533685;0.12339269651144005;0.09658016003915901
Chuck Grassley (R);0.10421089472976847;0.08852256770065783;0.09604377171490441;0.07408411107490226;0.09138297540941184;0.10440949421228779;0.1030809144817831;0.10269255896707105;0.08025869935726095;0.0934242038717204;0.10633166507736369;0.10086596505974435;0.06942014782441835;0.09351566432453891;0.1279618089835728;0.08872121355737059;0.10516735364107209;0.09822910022564649;0.11151311290007818;0.09949083417967207
Rand Paul (R);0.1367763488375821;0.12140665977246977;0.11480073969973074;0.10710646397430729;0.10888471912975767;0.13559490384137912;0.12560394121368304;0.12241054039502883;0.08494716540972715;0.09996411443347919;0.1475202864393359;0.13662154268792767;0.09807817211978265;0.12547357798897402;0.16061239157412455;0.12250058681775725;0.13177289755338958;0.11283704782655114;0.15091894377550702;0.09978027636708411
Mitch McConnell (R);0.10079929199138202;0.09546137768977925;0.09467386284452457;0.07647623297000275;0.09622643832584965;0.11632080234781336;0.10655281261688546;0.1101611916023123;0.08838996040851776;0.08638591320491722;0.11455553045258926;0.11023185034778468;0.08070865172925022;0.10335942889279759;0.13731092088607572;0.09143127035267112;0.10344151179031039;0.08200328954229545;0.11922927115968564;0.10379692147252195
Mary Landrieu (D);0.10323561043271248;0.08785531834651703;0.08763253974103546;0.07429122970171692;0.0882710282199739;0.12266294349878089;0.10327166006344776;0.10124304334060788;0.07900251129843816;0.0863990723923592;0.11574210818792427;0.10422416607147007;0.07584902613667259;0.09889279021452763;0.14172861565465683;0.0901924188322236;0.10259366117917475;0.08361553876335667;0.12150640620183756;0.09317324570606467
David Vitter (R);0.11411773484783894;0.09447312918064205;0.09644998464886113;0.08229332171986758;0.10101090162679413;0.11909277571115437;0.11422441649778481;0.11568055539641603;0.08641475212502371;0.09690961845069421;0.12655629272340935;0.12212301149951874;0.08195597207734072;0.0999277675008391;0.15171988835568725;0.09610223724724573;0.11586532908809996;0.09990073553217306;0.12484848763082243;0.10607430543058946
Olympia Snowe (R);0.11088299280597269;0.09274016559775708;0.08408090435273831;0.07645287711026579;0.09305469639229431;0.1211746802756715;0.10699614780259835;0.10688044956108046;0.10717341335834413;0.08300243130338666;0.1169698376940026;0.11773949394666197;0.08150529376882767;0.10192534744879189;0.1431837085708238;0.098348824385133;0.10643836235315557;0.08227667980878006;0.12474638414662395;0.08002221513755543
Susan Collins (R);0.10485031992239374;0.09019698697813594;0.09431211272759027;0.07383942306255466;0.09690223096286438;0.12959366818385337;0.10342305843950356;0.11910424174473586;0.08941262137062997;0.0788548706154299;0.12445827073672011;0.12174394733180993;0.08004766489611324;0.10087941923681043;0.14653483733813896;0.09666557775928726;0.11590980242509405;0.08369572456893967;0.12220196791348602;0.09380852906313897
Ben Cardin (D);0.11492762365029915;0.09679218011257748;0.09465235881481912;0.07892242326171812;0.08769934856382824;0.09799552643367024;0.1261093073451826;0.10345914723076073;0.0849034812078252;0.08781030988217878;0.11975171629267417;0.11639456172964482;0.08083926518101214;0.09924532960586982;0.13008124828438705;0.09489422607723302;0.10321856224397384;0.09006457875380358;0.11960188133606309;0.08455081823790966
Barbara Mikulski (D);0.12009600944721807;0.10751125249832649;0.10996088950781083;0.08464902056168397;0.11555727498172887;0.12656320668780788;0.11653060228271324;0.13346135258138075;0.1368297113111313;0.09764960521374874;0.1318575580895998;0.14553167118857885;0.10970821305259609;0.12053887323538626;0.1527527336130254;0.10296659002024705;0.11781342186663218;0.09946067259589922;0.15160662817633513;0.12770740538536307
Scott Brown (politician) (R);0.13140135309912243;0.10616208171955002;0.09351231774186265;0.09104081387944882;0.10621316361124741;0.12639422529272346;0.1003288986480817;0.1280348864993669;0.1042199586032457;0.10630023841712403;0.1437757645734964;0.12164210070763412;0.08741953851245504;0.12101353546393387;0.17943529015255225;0.10339390215450871;0.11738332403851609;0.0900695106019897;0.12953247143820504;0.08576439526729895
