;Robert Benton;Robert Redford;Warren Beatty;Richard Attenborough;James L. Brooks;Miloš Forman;Sydney Pollack;Oliver Stone;Bernardo Bertolucci;Barry Levinson;Kevin Costner;Jonathan Demme;Clint Eastwood;Robert Zemeckis;Mel Gibson;Anthony Minghella;James Cameron;Steven Spielberg;Sam Mendes;Steven Soderbergh;Ron Howard;Roman Polanski;Ang Lee;Martin Scorsese;Joel and Ethan Coen;Danny Boyle;Kathryn Bigelow;Michel Hazanavicius;Alfonso Cuarón
Dances with Wolves;0.06648506748186454;0.059997149623734036;0.060478378619941764;0.06095685693641149;0.06225947782361076;0.06529652216183074;0.06298713076730406;0.06422428296244208;0.06473151960322358;0.06307378276511924;0.06068925728032277;0.06568344682795814;0.05752243047736693;0.06535504820857115;0.059158580779184705;0.0641274087493015;0.05945302801536517;0.06014838455602339;0.06516807003298997;0.06407744405882085;0.060875195909869693;0.059951706735777474;0.061463620106986694;0.061546728946434266;0.05985596300976563;0.06224561240872928;0.06367447344673262;0.06803132254902272;0.0628858856004342
The Silence of the Lambs (film);0.0704318600433123;0.06130087166828532;0.0618033294210485;0.06230308886111819;0.06093913488880103;0.061830041989723174;0.06163607952912249;0.06550321202546455;0.06846701518326044;0.06171905163781463;0.06202356591009972;0.13002477023045267;0.05639354060354272;0.06188251639281112;0.06042572890464511;0.0656190394063028;0.05824788353562878;0.055484626347357166;0.06451166296334203;0.06773569773906574;0.059612317993897705;0.05374610905198652;0.06283258014503078;0.056672388221704416;0.06513253454580821;0.0636500261542998;0.0651448660125708;0.07216954578644456;0.0687362872225659
Unforgiven;0.06310145533389973;0.06312601314903955;0.06365896622499032;0.06418931538022812;0.06093913488880103;0.061830041989723174;0.06163607952912249;0.06097549605005063;0.06867602927068359;0.06171905163781463;0.06389265140148401;0.06237890850970027;0.05639354060354272;0.06188251639281112;0.05814078397883452;0.06293318459434831;0.05824788353562878;0.055484626347357166;0.06191390095844791;0.06290547361938967;0.059612317993897705;0.05890667728747013;0.06036569977829933;0.056672388221704416;0.05881423975052186;0.06111983286453888;0.06249690456430452;0.06449268209281797;0.06173704059687821
Forrest Gump;0.06755691307164471;0.05977081997918128;0.06334893183543218;0.06387410640703849;0.06093913488880103;0.061830041989723174;0.06163607952912249;0.0603677175122464;0.06543998952135226;0.06171905163781463;0.060457685864120744;0.06568344682795814;0.05639354060354272;0.06188251639281112;0.061902372937425246;0.0638689121584362;0.05824788353562878;0.055484626347357166;0.06619754323485709;0.0650724848522329;0.059612317993897705;0.06277131615436007;0.06443075666165911;0.056672388221704416;0.05963069531995101;0.06529060031708304;0.0668644447121295;0.06803132254902272;0.06599540331360769
Braveheart;0.06507581942332083;0.05463530124281265;0.061162294395150134;0.06196028698011059;0.06093913488880103;0.061830041989723174;0.06163607952912249;0.061146316854555655;0.06339488196597626;0.06171905163781463;0.06137797794238248;0.06430762532266474;0.05639354060354272;0.06188251639281112;0.11287429342543022;0.06489686892656747;0.05824788353562878;0.055484626347357166;0.04955983058408908;0.06276740855860584;0.059612317993897705;0.06062369653139187;0.062170130620055226;0.056672388221704416;0.06052579617430972;0.06297032092305548;0.06443303824577674;0.06655648901514985;0.06362566843874919
The English Patient (film);0.06723266322525047;0.05751924298957443;0.060514971496341725;0.06196028698011059;0.06093913488880103;0.061830041989723174;0.06163607952912249;0.061146316854555655;0.06543998952135226;0.06171905163781463;0.06068925728032277;0.06568344682795814;0.05639354060354272;0.06188251639281112;0.059158580779184705;0.07267309390904618;0.05824788353562878;0.055484626347357166;0.06310919576885275;0.06407744405882085;0.059612317993897705;0.059951706735777474;0.061463620106986694;0.056672388221704416;0.05985596300976563;0.06224561240872928;0.06367447344673262;0.06803132254902272;0.0628858856004342
Titanic (1997 film);0.0654322931638127;0.06097989017853796;0.06147707846516092;0.06197155440679528;0.06093913488880103;0.061830041989723174;0.06163607952912249;0.06115729015997506;0.06373312993815057;0.06171905163781463;0.06169499179818641;0.06465571016815226;0.05639354060354272;0.06188251639281112;0.06011382346423628;0.06525137950468428;0.05824788353562878;0.055484626347357166;0.06415627389050435;0.06309897629838963;0.059612317993897705;0.06093294699107793;0.06249540181215593;0.056672388221704416;0.06083404609272574;0.057281108277683526;0.06478248577613886;0.06692941547024087;0.0639663902676556
Saving Private Ryan;0.06395433004096492;0.05795806716222542;0.06017060939146366;0.05350384210920086;0.06093913488880103;0.061830041989723174;0.06163607952912249;0.05986423464331144;0.06233010746945667;0.06171905163781463;0.06037934352268679;0.06321223429082215;0.05639354060354272;0.06188251639281112;0.05886406494919849;0.06378148612109936;0.05824788353562878;0.055484626347357166;0.06273476714060174;0.06566928936938281;0.059612317993897705;0.05964926113891566;0.06114576793315142;0.056672388221704416;0.05955448023240512;0.061919642261173774;0.06333340710675835;0.06538384437377835;0.06255319287121121
American Beauty (1999 film);0.06592068391533408;0.06130087166828532;0.0618033294210485;0.06230308886111819;0.06377561612471755;0.0647520544328779;0.06453935745166606;0.061583739924918016;0.06419639491994421;0.06463033598420552;0.06202356591009972;0.06513253454580821;0.0587197474748912;0.06480960809295715;0.06042572890464511;0.0656190394063028;0.06083404609272574;0.05773495683485584;0.06451166296334203;0.06355303520175469;0.06232387947508612;0.06135626297679548;0.06283258014503078;0.05902213590026798;0.11544054434987641;0.0636500261542998;0.0651448660125708;0.06744049841586951;0.06443306492734488
Traffic (2000 film);0.06607279512126799;0.06371222474959787;0.062042152981224265;0.06254579801308774;0.06391797826815819;0.06732429248094272;0.06468515360865086;0.06390590371181219;0.06434064393908068;0.06719272139120004;0.06449325577329533;0.06528102610799476;0.05893529252747835;0.06738651173123307;0.06276740855860584;0.06838975735046544;0.06309897629838963;0.05241463923435371;0.06718774670469642;0.06369440427216724;0.06470327448630629;0.061488017707574595;0.06307944039357544;0.05923991076547778;0.061387308209062214;0.06625365961730417;0.0654102682388192;0.06759971285378841;0.06697952372151487
A Beautiful Mind (film);0.06715905824677718;0.06164447666489428;0.062152606324011254;0.06265805353049984;0.06093913488880103;0.061830041989723174;0.06163607952912249;0.0626631941430733;0.06537025534429419;0.06171905163781463;0.0602270797986668;0.06634120235736168;0.05639354060354272;0.06188251639281112;0.06075956647814246;0.06361160417151064;0.05824788353562878;0.055484626347357166;0.06257040812464781;0.06470327448630629;0.059612317993897705;0.06242768801466356;0.060989619158863896;0.056672388221704416;0.06232387947508612;0.061759521143491335;0.06316590055490078;0.06873719454261941;0.06561567626707937
The Pianist (2002 film);0.06603683125880916;0.06150462479799829;0.062010442041626784;0.06251357027214909;0.06388432131967017;0.06486411670181365;0.06465068409455105;0.061685095502312666;0.06430654051601808;0.06474197698514476;0.06223215974553394;0.06524591878246308;0.05890667728747013;0.06492186983204026;0.06062369653139187;0.06585256389061815;0.06093294699107793;0.05791565956616703;0.06473735855539074;0.0636609823026662;0.06242768801466356;0.05365607825469829;0.06304666051485926;0.05921099902696872;0.06135626297679548;0.06386972282862063;0.0653750218035827;0.06756206803519224;0.06454402486010925
Brokeback Mountain;0.06723266322525047;0.05751924298957443;0.0620647153225108;0.06168117819236399;0.06093913488880103;0.061830041989723174;0.06163607952912249;0.06016886973844033;0.06543998952135226;0.06171905163781463;0.06228682199843886;0.06568344682795814;0.05639354060354272;0.06188251639281112;0.059840557231573326;0.06591377430929012;0.05824788353562878;0.055484626347357166;0.06479651241514799;0.06371818456563624;0.059612317993897705;0.06151017874144466;0.0653323647501733;0.056672388221704416;0.05985596300976563;0.06392730100178753;0.06543534727708097;0.06803132254902272;0.066941654238645
The Departed;0.06345079063659503;0.06480424447134835;0.05972468141305087;0.06019126219679332;0.06093913488880103;0.061830041989723174;0.06163607952912249;0.05942281956985493;0.0618517240100852;0.06171905163781463;0.059930327839515934;0.06272026780863539;0.05639354060354272;0.06188251639281112;0.05843722378563539;0.0632806541278056;0.05824788353562878;0.055484626347357166;0.062250176139566946;0.06125428277071241;0.059612317993897705;0.059210999026968705;0.06068532421714512;0.056672388221704416;0.05911760468453452;0.06144751483278681;0.06283956006339605;0.06485763566073326;0.062071392158542606
No Country for Old Men (film);0.06592068391533408;0.058761475179671174;0.059223009705152735;0.059681754992566526;0.06092989121231635;0.061830041989723174;0.06162662322505272;0.061583739924918016;0.06419639491994421;0.06171905163781463;0.06212899992281743;0.06216724275919571;0.056385624420886196;0.06188251639281112;0.06052579617430972;0.06573706326468956;0.05824788353562878;0.055476963266709235;0.06462573346818358;0.06072669900119532;0.059612317993897705;0.06135626297679548;0.06016745439130996;0.05666439356517853;0.11544054434987641;0.06376106726715942;0.062284438645544914;0.06426645428263322;0.06443306492734488
Slumdog Millionaire;0.06723266322525047;0.05463530124281265;0.060478378619941764;0.06303130877808062;0.06225947782361076;0.06529652216183074;0.06298713076730406;0.06016886973844033;0.06543998952135226;0.06307378276511924;0.06068925728032277;0.06568344682795814;0.0593661750841182;0.0647275809429622;0.059158580779184705;0.0641274087493015;0.05945302801536517;0.054368410815875415;0.06516807003298997;0.06407744405882085;0.060875195909869693;0.06195718374007299;0.061463620106986694;0.05550837271219757;0.05985596300976563;0.057281108277683526;0.06367447344673262;0.06803132254902272;0.06509609059093445
The Hurt Locker;0.06648506748186454;0.05463530124281265;0.060478378619941764;0.06196028698011059;0.06093913488880103;0.061830041989723174;0.06163607952912249;0.05382982921051133;0.06473151960322358;0.06171905163781463;0.06068925728032277;0.06568344682795814;0.05639354060354272;0.06188251639281112;0.059158580779184705;0.0641274087493015;0.05824788353562878;0.055484626347357166;0.06516807003298997;0.06407744405882085;0.059612317993897705;0.05939239389477879;0.061463620106986694;0.056672388221704416;0.05985596300976563;0.06224561240872928;0.06367447344673262;0.06803132254902272;0.06281676793308764
The Artist (film);0.06708679104142624;0.058761475179671174;0.059223009705152735;0.059681754992566526;0.06092989121231635;0.0666831258195915;0.06162662322505272;0.06260027418739764;0.06609398051697983;0.06575085057246974;0.06316376581159289;0.06216724275919571;0.056385624420886196;0.06593640167377256;0.061507426102043884;0.06689662596959288;0.06182578202094088;0.055476963266709235;0.07051616597343698;0.06072669900119532;0.06336520142975743;0.0630873955413775;0.06016745439130996;0.05666439356517853;0.05862603774615752;0.06082234623453349;0.062284438645544914;0.06426645428263322;0.0655466907341551
Gravity (2013 film);0.06961465335997499;0.06459669932415654;0.06515488454968774;0.06571056063725854;0.06093913488880103;0.061830041989723174;0.06163607952912249;0.0647958014475844;0.06769451786295076;0.06171905163781463;0.06539970259430077;0.0687362872225659;0.05639354060354272;0.06188251639281112;0.0636256684387492;0.0694099091355071;0.05824788353562878;0.055484626347357166;0.06817209541026624;0.06697952372151487;0.059612317993897705;0.06454402486010925;0.06629982735576502;0.056672388221704416;0.06443306492734488;0.06721063356886409;0.06887958775917433;0.07131176318438914;0.0639663902676556
