;Robert Benton;Robert Redford;Warren Beatty;Richard Attenborough;James L. Brooks;Miloš Forman;Sydney Pollack;Oliver Stone;Bernardo Bertolucci;Barry Levinson;Kevin Costner;Jonathan Demme;Clint Eastwood;Robert Zemeckis;Mel Gibson;Anthony Minghella;James Cameron;Steven Spielberg;Sam Mendes;Steven Soderbergh;Ron Howard;Roman Polanski;Ang Lee;Martin Scorsese;Joel and Ethan Coen;Danny Boyle;Kathryn Bigelow;Michel Hazanavicius;Alfonso Cuarón
Saving Private Ryan;0.117913859840838;0.18014122476377073;0.23242911850896142;0.19051130919996592;0.19951626255560984;0.23187970762221266;0.17899032758707784;0.21351460203076722;0.23005543603981876;0.17024912003110176;0.1702092347196436;0.21127097850719048;0.26099308405889243;0.24137220158541264;0.19678269881429974;0.15024623605956586;0.21040123918002498;0.35010296516022893;0.1869064130020426;0.2557687118972736;0.2082090490466874;0.2522436808794408;0.21984709430229268;0.24140872638590355;0.2567904629289252;0.22464665308674947;0.24735364226866458;0.21439847183725025;0.22441377169219912
American Beauty (1999 film);0.11391040487749785;0.16818153790440765;0.21131266383056502;0.17589985880939724;0.19470555024253142;0.2146695266125061;0.17333542194857887;0.16287431713818035;0.2103097199807725;0.1524682711193863;0.17609086305908217;0.19468346213192667;0.23014695027413382;0.2335120136064092;0.17288402097006983;0.15188300477265182;0.1825102183710731;0.25344116483072354;0.2333135180960813;0.23173136441742914;0.17683676909866414;0.22431184042645613;0.21371467805490504;0.21729087277149056;0.25128490298645306;0.1931026562745893;0.2206057109926069;0.18752207666647536;0.19481743627682896
Traffic (2000 film);0.1322949350534264;0.1692857721613073;0.21648968425160744;0.17379729406169053;0.1837260652165592;0.21114382208906324;0.17424579946230354;0.18717668117356295;0.21893990327453525;0.15717809664904536;0.15144613731387502;0.20253431731592864;0.23057853121577512;0.21313533780016297;0.1799854948375299;0.14962398501683272;0.19166613864771487;0.22993835366202292;0.16330248832032832;0.33113078586418826;0.1673861946876745;0.21993592977053847;0.20292626476746714;0.2304572946169524;0.23178325482905032;0.1992305503958769;0.21915781887794014;0.20194531849890457;0.223106868999837
A Beautiful Mind (film);0.12348871567387407;0.14917909690153514;0.19534572402151443;0.15698214874721045;0.16213200086765325;0.19369921365148657;0.1493499638549982;0.14380884316400003;0.19568708372177102;0.1372651041925918;0.15358239650393102;0.18201937165830576;0.19768685881664216;0.18333459000325888;0.15681123902837554;0.13412568876813036;0.16533775890704636;0.19392622094122197;0.15081014318235342;0.20591110612149072;0.19862232630491478;0.20056792223337502;0.183106602771575;0.19974832242024024;0.1994883518388182;0.18506673293599224;0.19379008534308678;0.18667496545662338;0.19083835905631646
The Pianist (2002 film);0.1055664240162455;0.1287145504827788;0.16037988760103972;0.1422861202597735;0.13815553206656644;0.16543614727903308;0.135663992356133;0.12625224474063695;0.16309501093673848;0.12213096832690064;0.12164779792854871;0.14974834435473738;0.1722291675431403;0.15326357404642746;0.13941325363732976;0.13323267818273027;0.140165530882203;0.17070049241774182;0.13432547032349318;0.1723193459437548;0.1349728266087918;0.24633769670255512;0.15171867610425577;0.16981026179756337;0.16063426121611338;0.15203469674781378;0.15895737573691215;0.15523611138552215;0.15287022510497586
Brokeback Mountain;0.1809569377972401;0.19062585588990713;0.26332274218121726;0.20050757138804126;0.21201122576993003;0.2620224102059052;0.2005494296242309;0.2096263261268571;0.27017005103644565;0.18337175365410932;0.17615881726144583;0.2400564591771552;0.2718286430230791;0.23777518591551516;0.2484803163094469;0.20279760759133722;0.21514441000040863;0.2531723935706115;0.19563457471479792;0.27705240293583905;0.1934777345776487;0.25787670607472135;0.344114738951422;0.2761378687893776;0.26855593836251235;0.24661169212119805;0.27280054242067875;0.2639960684170333;0.2744406184348437
The Departed;0.13230615631070292;0.14761231760163035;0.18616489052263424;0.1433853442768247;0.15454183694198467;0.1854365043989648;0.1517502530152267;0.1592789167180717;0.19148888759722554;0.14860302920605967;0.12921745769993198;0.18131358063770317;0.20005510767366047;0.17782017592202884;0.1926974591601257;0.14268687360317017;0.1603194773514003;0.1917038918551311;0.1444068626973352;0.2105242348968474;0.1678726925018224;0.18419576928558595;0.18515737815863914;0.28964386845692175;0.21108306935924548;0.18136797260472756;0.19928312274961496;0.19926155612836938;0.19322433301523678
No Country for Old Men (film);0.1260299474972914;0.16691575678959492;0.20702171254172186;0.1719272702119266;0.1906596428737492;0.2175085566089175;0.17707684843604965;0.19052606962625998;0.223724319946615;0.15695618756697377;0.15437306556857863;0.20534585663996371;0.24942021390513225;0.2202822201524333;0.18798038780072124;0.16054994938431583;0.19137556997489621;0.23322113711438242;0.16945188503646325;0.24965854228150683;0.16983028503837247;0.23556450668278126;0.23898024731768802;0.2350696197429578;0.3706132124233239;0.21171176579552442;0.2448253435924736;0.20780975717437214;0.22236664684110002
Slumdog Millionaire;0.13173180678831928;0.18030912594310147;0.22197378633958015;0.19532761884131675;0.1969670814399119;0.24043261849234482;0.18633991591343596;0.17347453929426726;0.23934908668726584;0.17232684926612601;0.16052494795532007;0.2172460740363348;0.25557285186546674;0.23192468864135302;0.19590514288110814;0.182636809239357;0.2006073977281965;0.24587970366620557;0.19814320996398682;0.2739022604032012;0.183871923370598;0.2398393389355143;0.23580342454730685;0.24469250671459436;0.2516198105696263;0.30447727225964527;0.2592107817245771;0.2483591377599997;0.24140448978395176
The Hurt Locker;0.14485819347986617;0.18910021573219551;0.24226425691493972;0.19954488537478093;0.2228536685236494;0.25188290682546977;0.19869526519915562;0.18738401830895524;0.2633625214672435;0.1834112199336957;0.16632684848051463;0.23781044798595335;0.27408269424219134;0.24750977862011941;0.20862820306669583;0.18233516865141713;0.2338063819137016;0.26566885485224756;0.2048451097112038;0.2895346663563147;0.19569913637342307;0.269109277261051;0.2499147631752634;0.26545622780581396;0.2651688707664183;0.24943807813364455;0.3602778514576053;0.259579777677934;0.26070155435004505
The Artist (film);0.16038979800362346;0.19110801826902685;0.2492725334963491;0.19466593636521792;0.20241121562250652;0.271263887660718;0.20603040553592786;0.17938883774245923;0.2788505432050155;0.19224266731627807;0.1643477880246596;0.2523076389340127;0.2744121098849492;0.2439485745973948;0.20311587230652936;0.16417344385311491;0.21954237669247967;0.2615976528330339;0.20115776153893528;0.2961394778803748;0.1986121936615362;0.26052607304992353;0.25338324387508127;0.28481280053534924;0.27324979467564675;0.2548590276751396;0.2859731802149194;0.3498746834755518;0.2630804390565042
Gravity (2013 film);0.14315599614040114;0.18211826960450755;0.2440324774165788;0.1937016952264182;0.20379942942142604;0.23945193387152303;0.1837921900958058;0.25832190561653257;0.2438723866391489;0.16665020882798295;0.1736259038504775;0.22957964378999365;0.2666314707121423;0.24083387676843532;0.1976869592745281;0.17551901329481143;0.2556824363696336;0.25129667363576813;0.20114629308494542;0.2752585521633131;0.1844661481705223;0.25971355556931747;0.2390538175990145;0.26218466698898213;0.2488149234161986;0.24194403580106444;0.257227930909123;0.2399328475666572;0.2994843859997698
